taxonID;parentNameUsageID;acceptedNameUsageID;originalNameUsageID;taxonRank;taxonomicStatus;scientificName;nameAccordingTo;namePublishedInYear;namePublishedIn;namePublishedInID;nomenclaturalStatus;dc:references;typification;taxonRemarks
k1;;;;kingdom;;Animalia;;;;;;;;
k2;;;;kingdom;;Plantae;;;;;;;;
k3;;;;kingdom;;Fungi;;;;;;;;
k4;;;;kingdom;;Protozoa;;;;;;;;
k5;;;;kingdom;;Chromista;;;;;;;;
p1;k1;;;phylum;;Arthropoda;;;;;;;;
p2;k1;;;phylum;;Mollusca;;;;;;;;
p3;k3;;;phylum;;Ascomycota;;;;;;;;
p4;k1;;;phylum;;Ctenophora;;;;;;;;
p5;k2;;;phylum;;Chlorophyta;;;;;;;;
p6;k1;;;phylum;;Chordata;;;;;;;;
p7;k2;;;phylum;;Tracheophyta;;;;;;;;
p7-s1;;p7;;phylum;synonym;Psilotophyta;;;;;;;;
p7-s2;;p7;;phylum;synonym;Microphyllophyta;;;;;;;;
p7-s3;;p7;;phylum;synonym;Arthrophyta;;;;;;;;
p7-s4;;p7;;phylum;synonym;Pterophyta;;;;;;;;
p7-s5;;p7;;phylum;synonym;Cycadophyta;;;;;;;;
p7-s6;;p7;;phylum;synonym;Ginkgophyta;;;;;;;;
p7-s7;;p7;;phylum;synonym;Coniferophyta;;;;;;;;
p7-s8;;p7;;phylum;synonym;Gnetophyta;;;;;;;;
p7-s9;;p7;;phylum;synonym;Magnoliophyta;;;;;;;;
p7-s10;;p7;;phylum;synonym;Equisetophyta;;;;;;;;
p7-s11;;p7;;phylum;synonym;Lycopodiophyta;;;;;;;;
p7-s12;;p7;;phylum;synonym;Polypodiophyta;;;;;;;;
p7-s13;;p7;;subkingdom;synonym;Tracheobionta;;;;;;;;
p7-s14;;p7;;phylum;synonym;Psilophyta;;;;;;;;
p7-s15;;p7;;phylum;synonym;Pteridophyta;;;;;;;;
p7-s16;;p7;;subphylum;synonym;Pteridophytina;;;;;;;;
p8;k2;;;phylum;;Marchantiophyta;;;;;;;;
p8-s1;;p8;;phylum;synonym;Hepaticae;;;;;;;;
p8-s2;;p8;;phylum;synonym;Hepatophyta;;;;;;;;
p8-s3;;p8;;subphylum;synonym;Marchantiophytina;;;;;;;;
p9;k2;;;phylum;;Bryophyta;;;;;;;;
p9-s1;;p9;;phylum;synonym;Musci;;;;;;;;
p9-s2;;p9;;subphylum;synonym;Bryophytina;;;;;;;;
p10;k5;;;phylum;;Cryptophyta;;;;;;;;
p10-s1;;p10;;phylum;synonym;Cryptista;;;;;;;;
24;;k4;;subphylum;synonym;Radiolaria;wikipedia;;;;;;;A subphylum hard to map to the CoL tree. Protozoa is a bit high, but is the best single match
p11;k1;;;phylum;;Cnidaria;;;;;;;;
p12;k1;;;phylum;;Annelida;;;;;;;;
p13;k5;;;phylum;;Ciliophora;;;;;;;;
p14;k5;;;phylum;;Foraminifera;;;;;;;;
p15;k4;;;phylum;;Euglenozoa;;;;;;;;
c1;p1;;;class;;Insecta;;;;;;;;
c2;p2;;;class;;Gastropoda;;;;;;;;
c3;p3;;;class;;Dothideales;;;;;;;;
c4;p4;;;class;;Tentaculata;;;;;;;;
c6;p6;;;class;;Aves;;;;;;;;
c7;p7;;;class;;Lycopodiopsida;;;;;;;;
c8;p3;;;class;;Leotiomycetes;;;;;;;;
c9;p1;;;class;;Arachnida;;;;;;;;
c10;k4;;;class;;Acantharia;CoL;;;;;;;
c11;p6;;;class;;Amphibia;;;;;;;;
c12;k1;;;class;;Clitellata;;;;;;;;
c13;;c12;;class;;Oligochaeta;;;;;;;;
c14;k1;;;class;;Malacostraca;;;;;;;;
